dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
ca4b69b0-40be-4eec-8cac-d883b8703cfd	native		Neotropical region		
8c5a66c3-d283-438a-b647-1f99ab80a709	native		Neotropical region		
0d07040b-03ae-4ef8-a05b-3d95c9dfe4e9	native		West Palearctic region		
b71352e9-5c0a-4a2b-acac-6ad54b4303da	native		West Palearctic region		
246c4a8c-27c1-4c54-b38e-3f6025f85df6	native		Neotropical region		
cd3dbc79-5ee2-45b9-96c5-362e920e1fdb	native		Neotropical region		
c6a71255-84fb-4820-97a4-5ed76efbde0b	native		West Palearctic region		
b2f9c811-0039-4a54-84ba-ba5bd7fb3a91	native		Nearctic region		
70099b2a-0f4e-4767-8edb-185d7fca2f90	native		East Palearctic region		
4014eadd-2977-4317-ade9-c6382671941f	native		West Palearctic region		
573fd633-19a0-4a18-a5a4-673f87712f39	native		Nearctic region		
2b706f55-11e0-4947-a923-6e94f134f50f	native		Australian and Pacific regions		
53b316ba-3f66-4b7a-82c5-40a7bd083ba1	native		Neotropical region		
daf2c2ae-5c13-4de0-8fe7-18b766b1e51f	native		West Palearctic region		
f0453d41-d7ca-4625-a1c9-2aa80fe4f2a1	native		Neotropical region		
9050dc48-75a2-42c7-bf6f-064de22e165e	native		West Palearctic region		
45e48468-a8ae-4abc-af4f-ef7097d3a638	native		Neotropical region		
165a25f9-b8dd-4892-89ae-c4985d8d50cb	native		West Palearctic region (fossil)		
e58ebae0-541e-4bf4-baac-62eaa116e796	native		Afrotropical region		
6c158620-f164-4461-b9b1-a54042fa4d97	native		Nearctic region		
4653691e-bfeb-45c1-aff3-e78d805bf4a4	native		Oriental region		
52a48ae8-e747-4c7d-898d-6a7fce892bc9	native		Australian and Pacific regions		
781515a6-9a7c-44f2-84af-62b047c78137	native		West Palearctic region		
5d3e0392-51eb-4795-b2e4-b36a447e27c3	native		West Palearctic region, [Nearctic region]		
75ab7b09-91e0-460c-a03b-f0f28e16e4d4	native		Australian and Pacific regions		
ad1bdd83-81b2-49d1-86cd-6035bd94a797	native		Neotropical region		
2023387a-83b6-4f26-ade6-0fadab2c385f	native		Neotropical region		
3d457f20-269a-4457-8467-086323bd281f	native		Neotropical region		
220fd3d7-a809-48d3-9fe4-2bde14230614	native		East Palearctic region		
9acc1d7c-657c-4e03-912d-3cf252aa52c2	native		Neotropical region		
876410b1-1829-4fde-b2f4-49fb81d23345	native		West Palearctic region (fossil)		
9aa469e0-c524-47a0-8466-fa43b4091441	native		Neotropical region		
4ab011f8-dcfc-44ec-b20c-bab682017f97	native		West Palearctic region		
5ebcd984-9c22-4b78-952a-721f8b08ac43	native		Neotropical region		
6fd4ae96-08f5-42dd-b895-18cf18b2c478	native		Afrotropical region		
8d5070de-875e-4f0e-a10d-1a34f6188996	native		Neotropical region		
0774ee79-96ea-48e7-9e79-b1ee8865700c	native		Australian and Pacific regions		
0b3df1d7-598f-4ece-aa81-39cb839fd81c	native		Afrotropical region		
3b685f08-1a5a-4fbf-8758-e44f8534c5aa	native		Australian and Pacific regions		
b1ddea24-6d83-4c56-ae38-980c39ab9214	native		Afrotropical region		
dcd29798-65b2-4651-85f6-46cd333b2584	native		Neotropical region		
69dc8776-2989-4a95-bb1d-2e57adc1b6a6	native		Oriental region		
c6d05807-f594-4187-9331-0b8578d60935	native		Afrotropical region		
0dbdfbea-a01c-4705-8c10-7e94b13fdfde	native		East Palearctic region		
8250e6aa-7e73-4da3-8fb1-20c3e85a8ea5	native		Neotropical region		
8b6bd569-1460-423c-8e9c-0cd31c26a30a	native		West Palearctic region		
f8082dcf-a354-4730-9d5e-5baca27766c6	native		Neotropical region		
2ecb12d9-f6c3-4292-87f2-298f3a475279	native		Neotropical region		
f550b83e-2e69-49ed-ab48-4dab88213481	native		Nearctic region, Neotropical region		
2c32ad06-0ddf-449a-8321-82e8335f016f	native		Neotropical region		
953e50d0-31c2-45f7-9c1f-4ca2db1ff51b	native		Afrotropical region		
8702812f-1e4d-4a27-8403-0813aa88d96f	native		West Palearctic region		
f70a11cb-ed91-4121-9658-26b0c4f7a2d4	native		Neotropical region		
55ddd226-f852-4aa1-bb8e-8d2fcce28055	native		Neotropical region		
1f5b9f44-ff48-4d3f-8ee9-5873870bbd0d	native		Neotropical region		
9cb5d2f7-d175-4468-be7f-ae63eaa0ab53	native		West Palearctic region, East Palearctic region		
3785c160-88ab-47f1-8f94-43e26e5fdfd3	native		Afrotropical region		
394813ba-40e6-49b5-b12e-8afce7024b04	native		Afrotropical region		
ebdd0b66-6754-408a-91c8-a2e7c54d7fb0	native		Afrotropical region		
4fa974dc-9560-4c36-a074-789065ad00f1	native		West Palearctic region		
77a314f0-1b2c-4c73-ac61-a8af6f0f1993	native		West Palearctic region		
4e873810-36c0-459f-93b7-a35238384ac9	native		West Palearctic region		
a972f3fd-00e8-4090-8231-52b47a12db3b	native		West Palearctic region		
dc5f97a7-870b-4c8f-8418-7939c8fed2ac	native		Australian and Pacific regions		
d3f84751-3925-4a14-a658-6d3e74ad9e4e	native		Afrotropical region		
1c84e079-28fd-4f08-a0d3-4dbc075bfc0b	native		Neotropical region		
241201f5-71c5-42a8-bc5f-06dccc0e8520	native		East Palearctic region		
23a8ed8e-8956-42a4-b63f-296a38bd1d88	native		Neotropical region		
0e24dd0b-139e-4a8f-a90e-a6854b0ddbf6	native		Nearctic region		
4b8f1fb2-be7c-4191-8a2d-2b314b99d90b	native		West Palearctic region		
9ef4ccac-88de-4aa5-8653-e5274bad40bd	native		West Palearctic region		
686cdd36-411d-43cf-be6c-8fbea9f0a495	native		Afrotropical region		
89f4a105-000e-46fc-bc16-4a20a792b2a6	native		West Palearctic region		
f244cbf3-97ba-429b-a1eb-8be77878ebc3	native		West Palearctic region		
52ee5aa2-8b15-4bdd-9bcd-0dfbbbe8cf8e	native		Neotropical region		
60186575-a61b-4823-92e5-1605779012a4	native		Afrotropical region		
4a35f422-8534-4e5b-aaaa-03a43e495665	native		West Palearctic region		
c15b6843-2676-4df5-81c1-16e6abfe4cff	native		Neotropical region		
ba780fb8-561d-474f-b964-e72e97e22738	native		West Palearctic region		
b56828f9-9918-4921-948e-8ed72395c45d	native		West Palearctic region		
24e9d578-4287-4bb7-98db-2b8c335c76eb	native		West Palearctic region		
df15081e-73d6-4cab-b744-7182d9aec34d	native		East Palearctic region		
d2134139-b5fb-4497-83bf-487aa146ab34	native		West Palearctic region		
46539d49-03b0-48a3-b9e0-528aa1daa3ba	native		West Palearctic region		
2eefdd2f-8661-48f7-8b79-e96d1d581a3b	native		West Palearctic region		
4290a975-59f3-45a9-86a5-ac4b2f3fba34	native		Australian and Pacific regions		
0809b6c0-6c66-4f8f-8206-e6453f27597c	native		West Palearctic region, Nearctic region		
7d6e6942-d72c-4b6f-850c-b1cfa5f801bc	native		East Palearctic region		
3252b204-185f-49c6-a71d-1547e3a73976	native		East Palearctic region		
bcd4174c-dda2-43fa-bf1f-f1079f2e81ce	native		West Palearctic region		
d964b3b4-ab03-4c9a-ab6e-16169f804567	native		Afrotropical region		
3f87a9d6-79b9-4371-9713-852250b99f7c	native		Neotropical region		
30b50fa0-a347-4833-b909-af66d43a5722	native		West Palearctic region		
c6fd2e4e-11fc-462d-86b2-fe50bacdabb0	native		West Palearctic region		
5b37bba0-21b5-44f7-8519-e850df61fce9	native		Nearctic region, Neotropical region		
609e0ce6-ad43-4efa-8ef1-a795d230bdc6	native		East Palearctic region		
3094eebf-41ae-4458-a813-6aad6b970900	native		West Palearctic region		
d702dd23-8c61-49d1-80ed-9acc81c4d7ec	native		Oriental region		
53693b0b-ef92-4832-8a16-8975d5729ce0	native		Oriental region		
827d6b7d-59d3-4d92-be7c-9b463470659f	native		Neotropical region		
b51e410a-a833-41c8-91c3-2c1d5e1dbb09	native		Afrotropical region		
ea8600a4-82bd-4a58-bcd0-d1f0cacc82b7	native		East Palearctic region		
eded661a-5dbb-4d69-be85-ee76ab2d3579	native		Neotropical region		
a49dcdcd-3ad9-4708-8df8-a02e5d3d74aa	native		West Palearctic region, East Palearctic region		
7776fa4b-60b7-4024-a8df-7bea309ce798	native		West Palearctic region		
afbea042-9702-42cc-a01c-47819e8a5f8f	native		Oriental region		
