dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:scientificNameID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	dwc:scientificNameAuthorship	col:notho	dwc:genericName	dwc:infragenericEpithet	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:cultivarEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:taxonRemarks	dcterms:references
x4				x3		valid	kingdom	Animalia													
x6	x4			x5		valid	phylum	Arthropoda													
x8	x6			x7		valid	class	Insecta													
xA	x8			x9		valid	order	Lepidoptera													
xC	xA			xB		valid	superfamily	Nepticuloidea													
xJ	xC			xH		valid	family	Opostegidae													
xE	xC			xD		valid	family	Nepticulidae													
x3C	xJ			x3B		valid	genus	Opostegoides			Opostegoides										
x46	xJ			x45		valid	genus	Notiopostega			Notiopostega										
x3N	xJ			x3M		valid	genus	Paralopostega			Paralopostega										
x3J	xJ			x3H		valid	genus	Eosopostega			Eosopostega										
x44	xJ			x43		valid	genus	Neopostega			Neopostega										
xL	xJ			xK		valid	genus	Pseudopostega			Pseudopostega										
x34	xJ			x33		valid	genus	Opostega			Opostega										
x3E	xE			x3D		valid	genus	Bohemannia			Bohemannia										
x3G	xE			x3F		valid	genus	Menurella			Menurella										
x3A	xE			x39		valid	genus	Zimmermannia			Zimmermannia										
x3L	xE			x3K		valid	genus	Glaucolepis			Glaucolepis										
x3Q	xE			x3P		valid	genus	Pectinivalva			Pectinivalva										
x3U	xE			x3T		valid	genus	Stigmellites			Stigmellites										
x3W	xE			x3V		valid	genus	Etainia			Etainia										
x3S	xE			x3R		valid	genus	Ozadelpha			Ozadelpha										
x3Y	xE			x3X		valid	genus	Simplimorpha			Simplimorpha										
x42	xE			x3Z		valid	genus	Casanovula			Casanovula										
xG	xE			xF		valid	genus	Trifurcula			Trifurcula										
xU	xE			xT		valid	genus	Hesperolyra			Hesperolyra										
xS	xE			xR		valid	genus	Ectoedemia			Ectoedemia										
xQ	xE			xP		valid	genus	Stigmella			Stigmella										
xY	xE			xX		valid	genus	Muhabbetana			Muhabbetana										
xN	xE			xM		valid	genus	Roscidotoga			Roscidotoga										
x32	xE			xZ		valid	genus	Fomoria			Fomoria										
xW	xE			xV		valid	genus	Enteucha			Enteucha										
x38	xE			x37		valid	genus	Acalyptris			Acalyptris										
x36	xE			x35		valid	genus	Parafomoria			Parafomoria										
x4C	xE			x4B		valid	genus	Varius			Varius										
x4A	xE			x49		valid	genus	Neotrifurcula			Neotrifurcula										
x48	xE			x47		valid	genus	Areticulata			Areticulata										
bd0deebe-c1e0-4c93-823a-ef7ee3adb8ce	x3C			bd0deebe-c1e0-4c93-823a-ef7ee3adb8ce		valid	species	Opostegoides argentisoma Puplesis & Robinson, 1999	Puplesis & Robinson, 1999		Opostegoides		argentisoma				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-argentisoma
c44bd076-6949-4dbe-8361-dc941fd98dfe	x3C			c44bd076-6949-4dbe-8361-dc941fd98dfe		valid	species	Opostegoides tetroa (Meyrick, 1907) Puplesis et al., 1999	(Meyrick, 1907) Puplesis et al., 1999		Opostegoides		tetroa				Meyrick E. Descriptions of Indian Micro-Lepidoptera, 4. Journal of the Bombay Natural History Society 17: 976-994. (1907).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-tetroa
afbea042-9702-42cc-a01c-47819e8a5f8f	x3C			afbea042-9702-42cc-a01c-47819e8a5f8f		valid	species	Opostegoides auriptera Puplesis & Robinson, 1999	Puplesis & Robinson, 1999		Opostegoides		auriptera				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-auriptera
a2a296b3-1f67-4692-8864-5a5bb4853d51	x3C			a2a296b3-1f67-4692-8864-5a5bb4853d51		valid	species	Opostegoides malaysiensis Davis, 1989	Davis, 1989		Opostegoides		malaysiensis				Davis DR. Generic revision of the Opostegidae, with a synoptic catalogue of the world's species (Lepidoptera: Nepticuloidea). Smithsonian Contributions to Zoology 478: 1-97. doi: 10.5479/si.00810282.478. (1989).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-malaysiensis
9e9f7a7e-ddc8-42d3-a2ac-258d63d99b57	x3C			9e9f7a7e-ddc8-42d3-a2ac-258d63d99b57		valid	species	Opostegoides bicolorella Sinev, 1990	Sinev, 1990		Opostegoides		bicolorella				Sinev SY. Novye dannye po sistematike Molej-Opostegid (Lepidoptera, Opostegidae) Dalnego Vostoka SSSR. [New data on the systematics of opostegid moths (Lepidoptera, Opostegidae) of Far East SSSR]. Novosti faunistiki i sistematiki: sbornik nauchn'ykh trudov [New data on faunistics and systematics : collected scientific papers]. Naukova Dimka, Kiev, 100-106. (1990).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-bicolorella
8d9c47cf-0e2f-468a-88fd-478a74430306	x3C			8d9c47cf-0e2f-468a-88fd-478a74430306		valid	species	Opostegoides spinifera Puplesis & Robinson, 1999	Puplesis & Robinson, 1999		Opostegoides		spinifera				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-spinifera
8efb1e4b-756c-46be-870b-f82d9f3b5613	x3C			8efb1e4b-756c-46be-870b-f82d9f3b5613		valid	species	Opostegoides scioterma (Meyrick, 1920) Kozlov, 1985	(Meyrick, 1920) Kozlov, 1985		Opostegoides		scioterma				Kozlov MV. Novye i maloizvestnye Opostegidy (Lepidoptera, Opostegidae) iz Aziatskoj chasti SSSR. (New and little known opostegid moths (Lepidoptera, Opostegidae) from Asiatic parts of the USSR). Trudy Zoologicheskogo Instituta 134: 49-58. (1985).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-scioterma
8f043b97-449f-434f-ae3d-9088f5858ea3	x3C			8f043b97-449f-434f-ae3d-9088f5858ea3		valid	species	Opostegoides praefusca (Meyrick, 1913) van Nieukerken et al., 2016	(Meyrick, 1913) van Nieukerken et al., 2016		Opostegoides		praefusca				Nieukerken EJ van, Doorenweerd C, Hoare RJB, Davis DR. Revised classification and catalogue of global Nepticulidae and Opostegidae (Lepidoptera: Nepticuloidea). ZooKeys 628: 65-246. doi: 10.3897/zookeys.628.9799. (2016).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-praefusca
e631478a-f2f7-45f5-856d-a2061b0f4528	x3C			e631478a-f2f7-45f5-856d-a2061b0f4528		valid	species	Opostegoides longipedicella Puplesis & Robinson, 1999	Puplesis & Robinson, 1999		Opostegoides		longipedicella				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-longipedicella
e187e91a-ca7b-4ebf-bf1c-720674859415	x3C			e187e91a-ca7b-4ebf-bf1c-720674859415		valid	species	Opostegoides thailandica Puplesis & Robinson, 1999	Puplesis & Robinson, 1999		Opostegoides		thailandica				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-thailandica
e2d103ba-b21e-4f78-9ae5-ba212703ecb9	x3C			e2d103ba-b21e-4f78-9ae5-ba212703ecb9		valid	species	Opostegoides epistolaris (Meyrick, 1911) Puplesis et al., 1999	(Meyrick, 1911) Puplesis et al., 1999		Opostegoides		epistolaris				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-epistolaris
d796f0ce-d1b6-4477-8329-5d400016445b	x3C			d796f0ce-d1b6-4477-8329-5d400016445b		valid	species	Opostegoides gorgonea Puplesis & Robinson, 1999	Puplesis & Robinson, 1999		Opostegoides		gorgonea				Puplesis R, Robinson GS. Revision of the Oriental Opostegidae (Lepidoptera) with general comments on phylogeny within the family. Bulletin of the Natural History Museum London Entomology 68: 1-92. doi: http://biodiversitylibrary.org/part/76471. (1999).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-gorgonea
c71f0606-f3d7-4b22-9683-1a5a8df0f234	x3C			c71f0606-f3d7-4b22-9683-1a5a8df0f234		valid	species	Opostegoides nephelozona (Meyrick, 1915) Puplesis et al., 1999	(Meyrick, 1915) Puplesis et al., 1999		Opostegoides		nephelozona				Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 1: 321-352. (1915).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-nephelozona
c70e8c5e-01f4-4c50-bb4c-f4bc39943c5e	x3C			c70e8c5e-01f4-4c50-bb4c-f4bc39943c5e		valid	species	Opostegoides pelocrossa (Meyrick, 1928) van Nieukerken et al., 2016	(Meyrick, 1928) van Nieukerken et al., 2016		Opostegoides		pelocrossa				Nieukerken EJ van, Doorenweerd C, Hoare RJB, Davis DR. Revised classification and catalogue of global Nepticulidae and Opostegidae (Lepidoptera: Nepticuloidea). ZooKeys 628: 65-246. doi: 10.3897/zookeys.628.9799. (2016).	ICZN			http://nepticuloidea.info/nepticuloidea/Opostegoides-pelocrossa
