Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	0	Tutt JW. Natural History of the British Lepidoptera. A textbook for Students and Collectors, 1. London-Berlin, 1: i-iv, 1-560 pp. doi: ttp://dx.doi.org/10.5962/bhl.title.59327. (1899).	Tutt, J. W.			Natural History of the British Lepidoptera. A textbook for Students and Collectors, 1	01/01/1899	1–560		London-Berlin	http://dx.doi.org/10.5962/bhl.title.59327	10.5962/bhl.title.59327	en
Journal Article	1	Scoble MJ. A revised cladistic classification of the Nepticulidae (Lepidoptera) with descriptions of new taxa mainly from South Africa. Transvaal Museum Monograph 2: 1-105. doi: http://hdl.handle.net/10499/AJ10150. (1983).	Scoble, M. J.		A revised cladistic classification of the Nepticulidae (Lepidoptera) with descriptions of new taxa mainly from South Africa	Transvaal Museum Monograph 2	01/01/1983	1–105			http://hdl.handle.net/10499/AJ10150		en
Miscellaneous	2	Frey H. Die Tineen und Pterophoren der Schweiz. Meyer & Zeller, Zürich: xii+430 pp. (1856).	Frey, H.			Die Tineen und Pterophoren der Schweiz	01/01/1856	430	Meyer & Zeller	Zürich			de
Journal Article	3	Meyrick E. Descriptions of Indian Micro-Lepidoptera, 4. Journal of the Bombay Natural History Society 17: 976-994. (1907).	Meyrick, E.		Descriptions of Indian Micro-Lepidoptera, 4	Journal of the Bombay Natural History Society 17	01/01/1907	976–994					en
Journal Article	4	Rebel H. Zwei neue Microlepidopteren aus Dalmatien. Zeitschrift des Österreichischen Entomologen-Vereines 18: 81-82. (1933).	Rebel, H.		Zwei neue Microlepidopteren aus Dalmatien	Zeitschrift des Österreichischen Entomologen-Vereines 18	01/01/1933	81–82					de
Miscellaneous	5	Spuler A, Meess A. Superfam. Tineides Aculeatae. In: Spuler A (Ed) Die Schmetterlinge Europas II Band. Schweizerbart, Stuttgart, 464-482, pl. 491. (1910).	Spuler, A., and A. Meess / Spuler, A., ed.	Spuler, A., ed.	Superfam. Tineides Aculeatae	Die Schmetterlinge Europas II Band	01/01/1910	464–482	Schweizerbart	Stuttgart			de
Book	6	Puplesis R. The Nepticulidae of eastern Europe and Asia. Western, central and eastern parts. Backhuys Publishers, Leiden: 290 pp. (1994).	Puplesis, R.			The Nepticulidae of eastern Europe and Asia. Western, central and eastern parts	01/01/1994	290	Backhuys Publishers	Leiden			en
Book	7	Stainton HT. Insecta Brittanica. Lepidoptera: Tineina. Lovell Reeve, London., London: viii, 313 pp. doi: 10.5962/bhl.title.9558. (1854).	Stainton, H. T.		Lepidoptera: Tineina	Insecta Brittanica	01/01/1854	313	Lovell Reeve	London	http://dx.doi.org/10.5962/bhl.title.9558	10.5962/bhl.title.9558	en
Journal Article	8	Meyrick E. Descriptions of South African Micro-Lepidoptera, 4. Annals of the Transvaal Museum 3: 267-336. (1913).	Meyrick, E.		Descriptions of South African Micro-Lepidoptera, 4	Annals of the Transvaal Museum 3	01/01/1913	267–336					en
Journal Article	9	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 2: 1-32. (1916).	Meyrick, E.		Exotic Microlepidoptera 2	Exotic Microlepidoptera	01/01/1916	1–32					ja
Journal Article	10	Zimmermann F. Zur Kenntnis der Verbreitung der Nepticuliden in den Reichsgauen Wien und Niederdonau (Lepidopt.). Zeitschrift der Wiener Entomologischen Gesellschaft 29: 107-122. (1944).	Zimmermann, F.		Zur Kenntnis der Verbreitung der Nepticuliden in den Reichsgauen Wien und Niederdonau (Lepidopt.)	Zeitschrift der Wiener Entomologischen Gesellschaft 29	01/01/1944	107–122					de
Journal Article	11	Klimesch J. Neue Stigmella-Arten (Lep., Stigmellidae). Zeitschrift der Wiener Entomologischen Gesellschaft 31: 160-172, 161 pl. (1948).	Klimesch, J.		Neue Stigmella-Arten (Lep., Stigmellidae)	Zeitschrift der Wiener Entomologischen Gesellschaft 31	01/01/1948	160–172					de
Journal Article	12	Puplesis RK. Novye vidy moleï-malyutok (Lepidoptera, Nepticulidae) s yuga dal'nego vostoka i Tadzhikistana (New species of the nepticulid moths from Southern far east and Tadzhikistan). Trudy Zoologicheskogo Instituta Akademiya Nauk SSSR 134: 59-72. (1985).	Puplesis, R. K.		Novye vidy moleï-malyutok (Lepidoptera, Nepticulidae) s yuga dal'nego vostoka i Tadzhikistana (New species of the nepticulid moths from Southern far east and Tadzhikistan)	Trudy Zoologicheskogo Instituta Akademiya Nauk SSSR 134	01/01/1985	59–72					ru-Latn
