Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Miscellaneous	a4154d314de6636ccf79941f56d5f703	[Denis, M. & Schiffermüller, I.]. (1775). Ankündung eines systematischen Werkes von den Schmetterlingen der Wienergegend [sic], 323 pp. – Wien. (30, 44, 305-306).	Denis, M. and I. Schiffermüller			Ankündung eines systematischen Werkes von den Schmetterlingen der Wienergegend [sic]	01/01/1775	30, 44, 305-306			de
Journal Article	a2953e431815c43069588efa3e0de0e8	[Fabricius, J. C.]. (1807). In Illiger, J. C.: Die neueste Gattungs-Eintheilung der Schmetterlinge aus den Linnéischen Gattungen Papilio und Sphinx. Magazin Für Insektenkunde (Illiger), 6, 277–295. (288, 294).	Fabricius, J.C.	Illiger, J.C.	Die neueste Gattungs-Eintheilung der Schmetterlinge aus den Linnéischen Gattungen Papilio und Sphinx	Magazin Für Insektenkunde (Illiger), 6	01/01/1807	288, 294			de
Miscellaneous	bba0407b750c694d6946ca664b41820e	[Haworth, A. H.]. (1802). Prodromus Lepidopterorum Britannicorum. A concise Catalogue of British Lepidopterous Insects, with the Times and Places of Appearance in the Winged State, 39+6 pp. – Holt. (5-6).	Haworth, A.H.			Prodromus Lepidopterorum Britannicorum. A concise Catalogue of British Lepidopterous Insects, with the Times and Places of Appearance in the Winged State	01/01/1802	5-6			en
Journal Article	ae25cb09203ad70bfb10f8c727ec89c9	Agassiz, D., & Kallies, A. (2018). A new genus and species of myrmecophile clearwing moth (Lepidoptera: Sesiidae) from East Africa. Zootaxa, 4392, 588–594.	Agassiz, D. and A. Kallies		A new genus and species of myrmecophile clearwing moth (Lepidoptera: Sesiidae) from East Africa	Zootaxa, 4392	01/01/2018	588–594			en
Journal Article	ce454ff5d0014b1d705dc1cd76a42b86	Agassiz, J. L. R. (1847). Nomenclatoris zoologici index universalis. Nomenclator Zoologicus, 2(1846), 393 pp. (319).	Agassiz, J.L.		Nomenclatoris zoologici index universalis	Nomenclator Zoologicus, 2(1846)	01/01/1847	319			zu
Journal Article	74a36babb7d9a303c725984727d99ca9	Alpheraky, S. N. (1882). Lépidoptères du district de Kouldjà et des montagnes environnantes. IIème Partie. Heterocera. Horae Societatis Entomologicae Rossicae, 17, 15–103, pls 1–3. (18–22, pl. 1).	Alpheraky, S.N.		Lépidoptères du district de Kouldjà et des montagnes environnantes. IIème Partie. Heterocera	Horae Societatis Entomologicae Rossicae, 17	01/01/1882	18-22			fr
Miscellaneous	d2211eb3e4e9af199875cb35a7c9f5cb	Arita, & Kallies. (2005). see Kallies, A. & Arita, Y. (2005).	Kallies, A. and Y. Arita			unknown	01/01/2005				
Miscellaneous	a6e50f3e15f67eed4980c6b9a50b757b	Arita, & Kimura. (2016). see Arita, Y., Kimura, M., Yata, N. & Nagase, M. (2016).	Arita, Y., M. Kimura, N. Yata, and M. Nagase			unknown	01/01/2016				
Miscellaneous	2abf00b3a0294c9d0a8a7f1555b5d169	Arita, & Nagase. (2016). see Arita, Y., Kimura, M., Yata, N. & Nagase, M. (2016).	Arita, Y., M. Kimura, N. Yata, and M. Nagase			unknown	01/01/2016				
Miscellaneous	06daac9663bcbb74d2f502281aa80738	Arita, & Yata. (2016). see Arita, Y., Kimura, M., Yata, N. & Nagase, M. (2016).	Arita, Y., M. Kimura, N. Yata, and M. Nagase			unknown	01/01/2016				
Journal Article	9aafcc72ae03b5259a19a4b5e907a4fd	Arita, Y. (1989). Two New and an Unrecorded Clearwing Moths (Lepidoptera: Sesiidae) from Thailand. Microlepidoptera of Thailand, 2, 9–14.	Arita, Y.		Two New and an Unrecorded Clearwing Moths (Lepidoptera: Sesiidae) from Thailand	Microlepidoptera of Thailand, 2	01/01/1989	9–14			en
Journal Article	370ecd968b1e0668cb7b8cd164bec8d5	Arita, Y. (1992). A new subspecies of Macroscelesia longipes (Moore) (Lepidoptera, Sesiidae) from Japan. Tyo to Ga, 43, 221–224.	Arita, Y.		A new subspecies of Macroscelesia longipes (Moore) (Lepidoptera, Sesiidae) from Japan	Tyo to Ga, 43	01/01/1992	221–224			en
Journal Article	aa41fe4f3afb587e5eaf669ef6b09e21	Arita, Y. (1992). The Genus Pennisetia Dehne (Lepidoptera, Sesiidae) of Japan. Japanese Journal of Entomology, 60, 449–462.	Arita, Y.		The Genus Pennisetia Dehne (Lepidoptera, Sesiidae) of Japan	Japanese Journal of Entomology, 60	01/01/1992	449–462			af
Journal Article	549f53436abedebb59b4ee4214ee7389	Arita, Y. (1993). A new species of the clearwing moth genus Trichocerota (Lepidoptera, Sesiidae) from Yakushima Island, Japan. Tyo to Ga, 44, 77–80.	Arita, Y.		A new species of the clearwing moth genus Trichocerota (Lepidoptera, Sesiidae) from Yakushima Island, Japan	Tyo to Ga, 44	01/01/1993	77–80			en
