scientific_nameID	parent_nameID	accepted_nameID	name_usage	unacceptability_reason	rank_name	taxon_author	unit_name1	unit_name2	unit_name3	unit_name4	geographic_value	origin	referenceID
x4			accepted		Kingdom								
x6	x4		accepted		Phylum								
x8	x6		accepted		Class								
xB	x8		accepted		Order								
1	xB		accepted		Family	Boisduval, 1828							9ee3d0ecd1122fedf127aa3555061d26
2	1		accepted		Subfamily	Le Cerf, 1917							5f98dd5e128cedd51ee3c63b38ef47d3
3	2		accepted		Tribe	Le Cerf, 1917							5f98dd5e128cedd51ee3c63b38ef47d3
4	3		accepted		Genus	Bartel, 1912	Microsphecia						5c898fe319b1d7b073211348a6cba234
5	4		accepted		Species	(Hübner, [1813])	Microsphecia	brosiformis					b0d7066ab6f46aba1ccd1e923936a11d
5-12		5	unaccepted	other, see comments	Species	Le Cerf, 1914	Zenodoxus	dorsalis					c32238823fae13a3317c03d78e8c8170
5-11		5	unaccepted	other, see comments	Species	Hübner, [1813]	Sphinx	brosiformis					b0d7066ab6f46aba1ccd1e923936a11d
5-14		5	unaccepted	other, see comments	Species	Le Cerf, 1914	Zenodoxus	obscura					c32238823fae13a3317c03d78e8c8170
5-13		5	unaccepted	other, see comments	Species	(Le Cerf, 1914)	Microsphecia	dorsalis					c32238823fae13a3317c03d78e8c8170
5-15		5	unaccepted	other, see comments	Form	(Le Cerf, 1914)	Microsphecia	brosiformis					c32238823fae13a3317c03d78e8c8170
6	4		accepted		Species	(Esper, [1789])	Microsphecia	tineiformis					efead4f1aad1303a3961b99eef753ca2
6-19		6	unaccepted	other, see comments	Species	(Rossi, 1794)	Microsphecia	aselliformis					1ef7e4535afa5d1433783185a4e29d7a
6-18		6	unaccepted	other, see comments	Species	Rossi, 1794	Sesia	aselliformis					1ef7e4535afa5d1433783185a4e29d7a
6-17		6	unaccepted	other, see comments	Species	Esper, [1789]	Sphinx	tineiformis					efead4f1aad1303a3961b99eef753ca2
7	3		accepted		Genus	Walker, [1865]	Tinthia						5f897fff4bf1fd6c770a12028b82172c
8	7		accepted		Species	Yang, 1977	Tinthia	beijingana					37044b9bbd9654a3c124d32f8f07fc1f
9	7		accepted		Species	Laštuvka, 1997	Tinthia	mianjangalica					
10	7		accepted		Species	(Moore, 1877)	Tinthia	cuprealis					40928414fbcde1d1345a74bbd26d8b4d
10-25		10	unaccepted	other, see comments	Species	Moore, 1877	Soronia	cuprealis					40928414fbcde1d1345a74bbd26d8b4d
15	7		accepted		Species	Hampson, 1919	Tinthia	xanthospila			Australia	Native	0af616f4f481006e75ff86deb5f3378e
11	7		accepted		Species	(Hampson, 1919)	Tinthia	brachythyra					0af616f4f481006e75ff86deb5f3378e
11-27		11	unaccepted	other, see comments	Species	Hampson, 1919	Trichocerota	brachythyra					0af616f4f481006e75ff86deb5f3378e
12	7		accepted		Species	(Walker, [1865])	Tinthia	cupreipennis					5f897fff4bf1fd6c770a12028b82172c
12-29		12	unaccepted	other, see comments	Species	Walker, [1865]	Aegeria	cupreipennis					5f897fff4bf1fd6c770a12028b82172c
13	7		accepted		Species	Walker, [1865]	Tinthia	varipes					5f897fff4bf1fd6c770a12028b82172c
14	7		accepted		Species	(Pagenstecher, 1900)	Tinthia	ruficollaris			Australia	Native	7ff20b068d3b057554a01ab3fc24fd20
14-32		14	unaccepted	other, see comments	Species	Pagenstecher, 1900	Paranthrene	ruficollaris					7ff20b068d3b057554a01ab3fc24fd20
7-21		7	unaccepted	other, see comments	Genus	Moore, 1877	Soronia						40928414fbcde1d1345a74bbd26d8b4d
140	3		accepted		Genus	Arita & Gorbunov, 2003	Bidentotinthia						cd9b380b8a39c793b3d6d7224e59432e
141	140		accepted		Species	Arita & Gorbunov, 2003	Bidentotinthia	borneana					cd9b380b8a39c793b3d6d7224e59432e
142	3		accepted		Genus	Arita & Gorbunov, 2003	Tarsotinthia						cd9b380b8a39c793b3d6d7224e59432e
143	142		accepted		Species	Arita & Gorbunov, 2003	Tarsotinthia	albogastra					cd9b380b8a39c793b3d6d7224e59432e
16	3		accepted		Genus	Walker, 1856	Sophona						ca7f2426b9c16156473f3df1d287d3d6
17	16		accepted		Species	Eichlin, 1986	Sophona	greenfieldi					d73ce2bac511be479b4ed5c3303b19e9
18	16		accepted		Species	Eichlin, 1986	Sophona	snellingi					d73ce2bac511be479b4ed5c3303b19e9
23	16		accepted		Species	Eichlin, 1986	Sophona	ezodda					d73ce2bac511be479b4ed5c3303b19e9
24	16		accepted		Species	Zukowsky, 1937	Sophona	flavizonata					b0b54ea3fd29dcf6de54a645e1730bfc
25	16		accepted		Species	Eichlin, 1986	Sophona	fusca					d73ce2bac511be479b4ed5c3303b19e9
26	16		accepted		Species	Eichlin, 1986	Sophona	galba					d73ce2bac511be479b4ed5c3303b19e9
19	16		accepted		Species	Eichlin, 1986	Sophona	albibasilaris					d73ce2bac511be479b4ed5c3303b19e9
20	16		accepted		Species	Eichlin, 1986	Sophona	canzona					d73ce2bac511be479b4ed5c3303b19e9
21	16		accepted		Species	(Walker, 1856)	Sophona	ceropaliformis					ca7f2426b9c16156473f3df1d287d3d6
21-43		21	unaccepted	other, see comments	Species	Walker, 1856	Aegeria	ceropaliformis					ca7f2426b9c16156473f3df1d287d3d6
22	16		accepted		Species	(Meyrick, 1930)	Sophona	cyanomyia					d277504b560bf410494df694c61a8146
22-45		22	unaccepted	other, see comments	Species	Meyrick, 1930	Bombosceles	cyanomyia					d277504b560bf410494df694c61a8146
32	16		accepted		Species	(Clarke, 1962)	Sophona	leucoteles					2f3ccf9188ccd2b1ec307b46a2e1d070
32-57		32	unaccepted	other, see comments	Species	Clarke, 1962	Ficivora	leucoteles					2f3ccf9188ccd2b1ec307b46a2e1d070
31	16		accepted		Species	(Le Cerf, 1917)	Sophona	lemoulti					5f98dd5e128cedd51ee3c63b38ef47d3
31-55		31	unaccepted	other, see comments	Species	Le Cerf, 1917	Myrmecosphecia	lemoulti					5f98dd5e128cedd51ee3c63b38ef47d3
